Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
11,1.304585023,22,LKA,Sri Lanka,Asia,Southern Asia,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
4,1.243404130,27,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,27,MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
24,0.632617022,5,FRA,France,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,5,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
3,0.787671368,27,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2008 12:00:00 AM
4,8.241814848,22,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
1,1.398728556,27,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2009 12:00:00 AM
4,3.300343648,22,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
2,0.110844899,22,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
3,0.991178511,27,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,22,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,5,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2015 12:00:00 AM
3,1.151934386,27,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2008 12:00:00 AM
6,4.447541251,22,JAM,Jamaica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,BRB,Barbados,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
26,0.736567697,5,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,27,AND,Andorra,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,5,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
0,0,22,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
3,16.158569428,27,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
3,0.995670493,27,HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
3,0.841127784,27,BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
5,1.651964185,27,SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
8,0.669497245,27,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
17,1.428340974,27,CAN,Canada,Americas,Northern America,Victims of intentional homicide,25-29,1/1/2012 12:00:00 AM
0,0,27,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
55,2.600508470,27,KEN,Kenya,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
1,0.322956212,22,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2014 12:00:00 AM
0,0,5,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
0,0,5,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,27,GRD,Grenada,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
21,3.989752037,22,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
1,0.486813441,22,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,5,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
5,0.322982081,5,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,27,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
24,1.247528659,27,FRA,France,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,5,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
71,7.891506238,22,GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
74,3.370406284,22,COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
2,0.738391562,5,GEO,Georgia,Asia,Western Asia,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,27,MNE,Montenegro,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
3,0.300416528,5,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
1,0.608439050,22,PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,VAT,Holy See,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
1,0.633675412,22,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,OMN,Oman,Asia,Western Asia,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
288,2.478948946,27,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
1,0.758909599,5,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,22,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,5,KEN,Kenya,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
0,0,27,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
2,0.678589484,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
1,0.186862449,22,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,5,GTM,Guatemala,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
12,1.267884434,27,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,22,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,27,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
15,0.679003097,22,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
2,0.160179016,27,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
2,0.724673127,27,AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,27,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
28,1.469720220,22,FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
7,5.558467134,22,URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
27,5.048871203,22,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2015 12:00:00 AM
0,0,5,FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
8,0.378535880,5,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
3,5.181839380,27,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
1,0.269777016,27,BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
12,0.939493120,27,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
1,0.333118472,27,HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
0,0,27,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
1,2.143760585,22,MUS,Mauritius,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
2,0.782835548,27,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2010 12:00:00 AM
5,0.423184412,5,CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,5,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
2,2.720107716,22,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
1,22.678308198,22,GRD,Grenada,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,27,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
2,0.984804467,22,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
5,2.655287873,27,SVK,Slovakia,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
1,26.896180742,27,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
1.0125,0.229743697,5,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,5,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,5,MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
547,10.104356576,22,MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
7,2.296105805,22,HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2014 12:00:00 AM
4,2.806682712,5,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
18,1.547473256,22,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
12,1.442651016,27,LKA,Sri Lanka,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
4,8.443539109,22,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,5,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
1,0.300760473,22,BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,22,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
48,1.258617102,5,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2012 12:00:00 AM
139,3.085474640,27,RUS,Russian Federation,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
2,1.634561161,22,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,22,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,22,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
0,0,5,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
67,2.589665726,22,KEN,Kenya,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,22,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
1,0.354918910,22,SWE,Sweden,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
2,0.813396643,22,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2013 12:00:00 AM
16,0.427715139,5,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,22,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
1,0.928001039,27,HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
4,0.558316119,22,CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
1,0.607424550,22,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
2,4.625667831,27,EST,Estonia,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
2,1.774103412,22,MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
18,2.292586222,27,CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,22,VAT,Holy See,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,22,SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
15,0.772516937,5,GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
13,4.388674519,27,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,22,IRL,Ireland,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,5,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
17,12.354157356,22,JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
1,0.330379738,27,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
1,0.243971167,5,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,5,GRD,Grenada,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,5,IRL,Ireland,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
0,0,22,FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,22,GRD,Grenada,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
37,2.143932006,27,ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
13,0.835662475,5,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2014 12:00:00 AM
7,0.667883487,5,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2013 12:00:00 AM
64,3.403748378,27,TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
246,13.105039287,27,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2011 12:00:00 AM
22,1.533277345,5,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,27,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
14,11.276363534,27,JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
26,1.521386006,22,ARG,Argentina,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
2,0.695814329,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
7,0.651113427,5,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
4,1.137931525,27,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
1,0.206884067,27,AZE,Azerbaijan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
9,0.586556898,27,ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,5,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
1,0.213107837,27,JOR,Jordan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
27,4.965722720,22,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,27,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
2,1.856002079,27,HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,5,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,27,AND,Andorra,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
48,0.701697450,5,KEN,Kenya,Africa,Sub-Saharan Africa,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
4,1.583205358,27,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
161,7.564159696,22,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,27,IRL,Ireland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
8,4.095129867,27,CRI,Costa Rica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
0,0,22,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
34,13.480001031,27,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2009 12:00:00 AM
1,1.092185956,5,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,27,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2008 12:00:00 AM
1,0.672727945,27,MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
3,0.460818875,27,GTM,Guatemala,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
1,0.598689469,22,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2014 12:00:00 AM
190,9.311949829,22,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2013 12:00:00 AM
42,9.132062672,27,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,5,AZE,Azerbaijan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
74,9.750216580,27,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
175,8.958773006,22,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2010 12:00:00 AM
57,2.461542182,22,KEN,Kenya,Africa,Sub-Saharan Africa,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
4,1.966979334,5,JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
437,4.070669809,22,USA,United States of America,Americas,Northern America,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,5,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,22,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
0,0,27,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
77,3.817714543,27,KEN,Kenya,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
2,0.509412024,5,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2014 12:00:00 AM
2,1.026006705,27,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
6,0.206876149,22,JPN,Japan,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
2,4.607339492,22,LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2014 12:00:00 AM
2,1.100128165,27,NOR,Norway,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
23,0.357989915,5,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
8,0.409846039,5,CAN,Canada,Americas,Northern America,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
369,7.085044632,27,MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
2,53.792361485,27,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
2,0.374447690,22,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
1,0.523593105,22,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
16,1.944552306,27,KAZ,Kazakhstan,Asia,Central Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,5,GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,5,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
26,1.149984519,22,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2014 12:00:00 AM
0,0,27,DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,IRL,Ireland,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
0,0,5,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
6,3.528955076,22,PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
1,0.624268435,27,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
0,0,5,COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
3,1.008006935,27,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2014 12:00:00 AM
3,2.281039241,27,MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
10,2.608340691,27,BLR,Belarus,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
85,2.481040835,22,RUS,Russian Federation,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
