Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
0,0,27,ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
19,1.652571967,22,CAN,Canada,Americas,Northern America,Victims of intentional homicide,20-24,1/1/2010 12:00:00 AM
0.961538462,0.345411212,27,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
21,4.613817945,22,HND,Honduras,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,5,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
22,0.347649157,5,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,22,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
3,16.602562329,22,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
0,0,27,NOR,Norway,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,5,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2015 12:00:00 AM
0,0,5,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2014 12:00:00 AM
2,1.044850195,22,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
301,5.503577325,22,MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,22,MNE,Montenegro,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
4,8.443539109,22,LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
3,2.303537081,27,JAM,Jamaica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
3,0.327882111,27,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
4,0.458136359,5,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
